"","Accession_ID","Integrated_P1","Integrated_P2"
"564","11C049P003","07C120P003","08C132P003"
"565","11C049P005","07C120P003","08C132P003"
"566","11C049P006","07C120P003","08C132P003"
"567","11C050P001","07C148P001","08C132P003"
"568","11C051P001","08C182P002","07C132P003"
"569","11C051P002","08C182P002","08C132P003"
"570","11C054P001","07C064P005","08C138P002"
"571","11C055P002","07C120P003","08C138P002"
"572","11C055P003","07C120P003","08C138P002"
"573","11C055P004","07C120P003","08C138P002"
"574","11C056P001","07C148P001","08C138P002"
"575","11C056P002","07C148P001","08C138P002"
"576","11C057P001","08C138P002","08C182P002"
"577","11C057P002","08C182P002","08C138P002"
"578","11C057P004","08C182P002","08C138P002"
"579","11C061P001","07C050P601","06C066P603"
"580","11C062P603","06C066P603","08C017P005"
"581","11C064P001","06C106P002","06C090P605"
"582","11C065P001","06C106P002","07C009P601"
"583","11C067P001","06C106P002","07C050P601"
"584","11C067P002","07C050P601","06C106P002"
"585","11C071P601","06C137P002","07C009P601"
"586","11C074P001","06C137P002","08C017P005"
"587","11C075P001","06C137P002","08C075P001"
"588","11C076P001","06C090P605","07C043P001"
"589","11C076P002","06C090P605","07C043P001"
"590","11C077P001","07C009P601","07C043P001"
"591","11C077P003","07C009P601","07C043P001"
"592","11C080P001","08C017P005","07C043P001"
"593","11C080P002","07C043P001","08C017P005"
"594","11C081P001","07C043P001","08C075P001"
"595","11C083P001","07C009P601","07C132P003"
"596","11C085P001","07C050P601","07C132P003"
"597","11C086P001","08C017P005","07C132P003"
"598","11C086P002","08C017P005","07C132P003"
"599","11C086P003","08C017P005","07C132P003"
"600","11C089P001","07C009P601","08C015P002"
"601","11C092P001","08C017P005","08C015P002"
"602","11C092P002","08C017P005","08C015P002"
"603","11C093P002","08C075P001","08C015P002"
"604","11C096P001","08C017P005","07C134P001"
"605","11C099P001","06C204P001","07C092P003"
"606","11C099P003","06C204P001","07C092P003"
"607","11C099P004","06C204P001","07C092P003"
"608","11C099P009","06C204P001","07C092P003"
"609","11C100P001","07C064P002","07C092P003"
"610","11C100P002","07C064P002","07C092P003"
"611","11C101P001","06C204P001","07C132P003"
"612","11C101P003","06C204P001","07C132P003"
"613","11C101P004","07C043P001","07C144P001"
"614","11C101P005","06C204P001","07C132P003"
"615","11C102P003","07C064P002","07C132P003"
"616","11C102P004","07C064P002","07C132P003"
"617","11C102P006","07C064P002","07C132P003"
"618","11C103P001","07C092P003","07C132P003"
"619","11C103P003","07C092P003","07C132P003"
"620","11C103P005","07C092P003","07C132P003"
"621","11C104P001","06C204P001","08C075P001"
"622","11C104P003","06C204P001","08C075P001"
"623","11C104P004","06C204P001","08C075P001"
"624","11C105P001","07C064P002","08C075P001"
"625","11C107P002","08C075P001","07C132P003"
"626","11C107P003","08C075P001","07C132P003"
"627","11C107P005","08C075P001","07C132P003"
"628","11C109P002","07C064P002","08C135P004"
"629","11C109P003","07C064P002","08C135P004"
"630","11C110P001","07C092P003","08C135P004"
"631","11C110P002","07C092P003","08C135P004"
"632","11C110P003","07C092P003","08C135P004"
"633","11C110P004","07C092P003","08C135P004"
"634","11C111P001","08C135P004","07C132P003"
"635","11C111P003","08C135P004","07C132P003"
"636","11C112P002","08C075P001","08C135P004"
"637","11C112P003","08C075P001","08C135P004"
"638","11C113P001","06C204P001","08C182P002"
"639","11C113P006","06C204P001","08C182P002"
"640","11C114P004","07C064P002","08C182P002"
"641","11C114P006","07C064P002","08C182P002"
"642","11C115P003","07C092P003","08C182P002"
"643","11C115P004","08C182P002","07C092P003"
"644","11C115P005","07C092P003","08C182P002"
"645","11C116P001","08C182P002","07C132P003"
"646","11C116P002","08C182P002","07C132P003"
"647","11C117P001","08C075P001","08C182P002"
"648","11C118P001","08C182P002","08C135P004"
"649","11C120P003","06C137P002","07C119P001"
"650","11C120P004","06C137P002","07C119P001"
"651","11C120P007","06C137P002","07C119P001"
"652","11C120P008","06C137P002","07C119P001"
"653","11C122P001","07C009P601","07C119P001"
"654","11C123P002","07C092P003","07C119P001"
"655","11C124P001","08C075P001","07C119P001"
"656","11C124P002","08C075P001","07C119P001"
"657","11C124P005","08C075P001","07C119P001"
